UhaveE_ID	UID	EID	site	longitude	latitude	altitude	time_zone	daylight_saving	water_vapor	light_pollution(m/sas)
0	0	290	Mauna Kea Observatory	-149.16516867345888	-34.2700226516922	3776.6924224232084	UTC-9	n	4.306448033280428	21.42987733195118
1	0	520	Large Millimeter Telescope	-0.42769022830194103	-37.4471147795453	1482.029639297769	UTC+0	n	5.497075603306908	20.136896789357145
2	1	2539	Gornergrat Observatory	-44.267769120902614	-64.18405193787443	175.08014031747342	UTC-2	n	4.093030886536749	17.271444924938667
3	1	2355	Large Millimeter Telescope	-0.789974176881941	-58.77997784133599	4338.562097304185	UTC+0	y	9.975760753534038	17.214696721839147
4	2	186	Plateau Observatory	-114.19511113812969	61.24471763183931	3555.6066043269707	UTC-7	n	3.6609628109996217	19.962710115283887
5	3	2052	Large Millimeter Telescope	55.061554705940665	-71.97287349937496	2147.4298953594252	UTC+3	n	6.1874611489732825	22.39878148556226
6	3	2268	European Extremely Large Telescope	92.88205607754833	26.686649687766604	362.9880145343126	UTC+6	n	2.8523134743949385	22.290300869753608
7	3	1704	Plateau Observatory	31.146428888980864	23.33759399064087	3871.004658997711	UTC+2	n	3.620837394497486	20.916519121239155
8	3	1620	Large Millimeter Telescope	159.00356529321238	-20.52525456819376	790.0759292792839	UTC+10	n	1.1731674658884805	24.865936646002034
9	3	332	Mount Graham International Observatory	-30.18732625139458	-11.72695029953276	2387.807652695649	UTC-2	n	7.99961167604981	21.257945528211703
10	4	2902	Mauna Kea Observatory	88.79265262022687	-38.42305050794246	4741.979447374773	UTC+5	n	9.32717299062142	20.673349113485564
11	4	2469	Notre Dame University-Louaiz Observatory	178.00034430739066	70.93727105401643	3460.47090087975	UTC+11	n	8.85032176209955	15.102550225589344
12	4	114	Llano de Chajnantor Observatory	-82.33097541524613	-34.818404584001144	4199.904214898948	UTC-5	n	2.156894035381306	16.656708598514285
13	5	51	Peak Terskol Observatory	-119.1842660154827	60.513823875981274	1582.9370809790523	UTC-7	n	6.921857946126196	15.53637696069638
14	5	2953	Haleakala Observatory	-135.86285396147088	-60.88652726829803	4716.246400486217	UTC-9	n	4.923775180536637	15.366550668132078
15	5	1689	Receiver Lab Telescope	-21.6581509963778	-37.64734822538928	256.84036136517295	UTC-1	n	1.9129195807240407	23.802072846213598
16	6	2482	James Ax Observatory	15.4366195913004	41.427071930730705	2642.667764674292	UTC+1	n	3.8197765955864247	18.326227861376516
17	6	498	Yangbajing International Cosmic Ray Observatory	-95.04378027238684	31.131603298644293	1068.505978660953	UTC-6	n	3.007002962188432	20.32857088804567
18	6	852	Large Latin American Millimeter Array	-149.9116669738171	41.28951459720368	1958.5409130893754	UTC-9	n	6.839639562868273	22.339589160990954
19	6	435	Receiver Lab Telescope	-127.46964891867961	61.08576399009485	4488.494738489016	UTC-8	n	7.451501375166643	24.875338414233767
20	6	727	Yangbajing International Cosmic Ray Observatory	-130.75729553004038	20.842276731156417	4299.709575514274	UTC-8	n	6.998455334338013	15.042031141833617
21	7	2242	Peak Terskol Observatory	80.85328120120306	14.51529473811894	55.48257559373839	UTC+5	n	0.8110209723233919	19.630456176676603
22	7	559	Large Latin American Millimeter Array	55.44260323908003	21.21870291927381	3372.9964318735815	UTC+3	n	0.44693498459934755	15.769818680540627
23	7	2801	Llano de Chajnantor Observatory	-6.905295055962625	52.580343668176	4540.251398156901	UTC+0	n	5.8227945118017	15.784068805540707
24	7	932	Haleakala Observatory	65.29685329430072	31.78216196838889	3133.1614084162597	UTC+4	n	3.8343403192323535	19.381233330135885
25	7	666	Llano de Chajnantor Observatory	-102.5075919017782	-62.19158232007223	1963.9958852750378	UTC-6	y	0.8324125823902273	20.75527556222472
26	8	190	Large Latin American Millimeter Array	173.02439618839162	-53.66849235789623	3499.4832496411896	UTC+11	n	1.7868962379088893	24.47220148023836
27	8	376	Sphinx Observatory	-31.894878004048223	46.57393070474765	1007.9701550951252	UTC-2	y	1.6880892940065628	16.865475391817174
28	8	2833	University of Tokyo Atacama Observatory	-133.0392827949922	-64.47255583889309	2781.451712663375	UTC-8	n	5.879027285078921	24.07445386644489
29	9	1253	Llano del Hato National Astronomical Observatory	-110.97319807142601	39.37677256083175	4379.791328729195	UTC-7	n	3.6798192884523138	24.272624458429682
30	9	2479	Gornergrat Observatory	76.70551403446416	8.561066180185222	3242.651333768554	UTC+5	n	2.7914605831494854	20.67725151883595
31	9	1866	University of Tokyo Atacama Observatory	129.60732521869915	3.2256421167171254	3574.06214137246	UTC+8	n	6.834326760102336	24.506421660992277
32	9	160	High Altitude Water Cherenkov Gamma-Ray Observatory	151.7876459151368	9.508199985308408	2807.09209160428	UTC+10	n	1.6395940842245582	23.456769821386168
33	9	745	James Ax Observatory	71.22913538175865	25.290352667426873	4663.352494678401	UTC+4	n	0.2590606818559016	23.900718419401997
34	9	2076	High Altitude Water Cherenkov Gamma-Ray Observatory	-110.41592720996965	29.16807915422683	1292.9054347609683	UTC-7	n	9.559144920163453	17.233577145968425
35	10	1280	Gornergrat Observatory	52.857141474484365	-23.58311003259157	2755.9619110602334	UTC+3	n	8.02960548713168	21.97512915020185
36	10	1011	University of Tokyo Atacama Observatory	-99.10901441894272	24.30458280006617	2766.165217501546	UTC-6	n	0.030537944041878484	19.53146847582145
37	10	81	Large Latin American Millimeter Array	-127.78442458471004	-36.4440971008251	4790.088055177175	UTC-8	n	2.529381095896576	15.73545465826507
38	10	2405	Gornergrat Observatory	58.79875950991118	10.010285574468881	3083.745588228421	UTC+3	n	8.141057442786899	15.976975192010762
39	11	1320	Chacaltaya Astrophysical Observatory	179.95918191490983	24.296072499748774	1983.6320529157665	UTC+11	n	5.254795137421557	23.456625292570074
40	11	622	Shiquanhe Observatory 	-78.47571431029223	52.30843873677483	560.7130104078041	UTC-5	y	8.621958333932957	16.37400619025656
41	11	1319	Shiquanhe Observatory 	79.85076804735144	4.273146303476125	5035.292202167983	UTC+5	n	5.995501463036643	23.070197490982853
42	11	2445	Mount Graham International Observatory	148.07840301547196	70.17345305343864	4934.704658857784	UTC+9	n	9.726083561099445	18.497477820515957
43	11	2220	Concordia Station	8.786529381771544	26.81490522356505	3132.943208794508	UTC+0	n	7.088888254874428	23.46621863016284
44	12	1378	Barcroft Observatory	-13.813061372686661	1.7882141247922334	4075.6789114497433	UTC+0	n	3.058521170011106	24.4114236824209
45	12	2406	Sphinx Observatory	103.41313970931265	-63.349253634597545	2835.6431590335883	UTC+6	n	0.5755154874309154	23.210573561412
46	12	11	Large Latin American Millimeter Array	-97.42403700083167	-56.61038585778094	4207.243479991986	UTC-6	n	1.1993556055160803	19.272527438652112
47	12	408	Peak Terskol Observatory	97.441242729887	69.20899224936082	474.91689333939803	UTC+6	n	7.62666506288687	16.278581105222074
48	12	866	Large Latin American Millimeter Array	-118.62231896562265	45.80905391091139	489.01490880331033	UTC-7	y	0.3086430513011895	19.225473034630802
49	12	1521	Magdalena Ridge Observatory	45.43249260989475	56.96852712558703	348.83396701363705	UTC+3	n	4.838771939469355	24.570003817725052
50	13	1384	Large Latin American Millimeter Array	69.9781448547667	21.89670551659495	114.92509857346818	UTC+4	n	8.008038992452509	23.15294077806891
51	13	2977	Llano de Chajnantor Observatory	-40.269530575777026	27.930832485004075	4944.676516771327	UTC-2	n	6.130995226066881	18.409434549811714
52	13	2982	Chacaltaya Astrophysical Observatory	-50.56857947849724	65.6926515873472	523.0081841638737	UTC-3	n	0.5613648453614706	18.773871835499655
53	14	2344	James Ax Observatory	-72.62433960247022	-3.14594885746088	836.04674719611	UTC-4	n	2.356768873268784	17.182603472266514
54	14	418	Yangbajing International Cosmic Ray Observatory	-99.16426030252714	13.931068982163566	2773.30311195355	UTC-6	n	6.246400223900976	17.50755327097561
55	14	2731	Concordia Station	-52.01099792645766	28.81829201981985	4078.3137047001937	UTC-3	n	1.9243108794670172	23.233500780265402
56	14	1687	Magdalena Ridge Observatory	-156.53628208196682	39.4340042953462	2033.5017523787576	UTC-10	n	7.104713530725942	23.153408086623635
57	14	1416	Llano de Chajnantor Observatory	-72.33081664035693	43.316020984266586	2212.4789690988637	UTC-4	n	3.7658140471737345	22.585477226141776
58	15	2283	Magdalena Ridge Observatory	82.5761239499655	28.70332128315404	3400.963217059677	UTC+5	n	7.247696736505475	24.212350900249724
59	15	2782	Concordia Station	39.85799257289736	-64.57365284576058	4121.292513426753	UTC+2	y	1.0733435244729717	21.40402264328487
60	15	2104	Peak Terskol Observatory	48.89945973545679	20.867432957119902	1177.2832316334545	UTC+3	n	9.241886625101767	15.919962764336365
61	15	2209	Mauna Kea Observatory	-140.4664316229272	-6.07099023801365	1567.115306416856	UTC-9	n	7.927250711218496	19.084215063271202
62	16	2361	Chacaltaya Astrophysical Observatory	59.57587824879761	26.588329472810557	2446.4362094112557	UTC+3	n	8.465748547287511	22.690740504045017
63	16	2370	Atacama Cosmology Telescope	-73.5738622726973	38.485260289398596	4217.265835185241	UTC-4	n	8.21503465012023	17.604360759617375
64	16	590	European Extremely Large Telescope	-156.09474061043665	67.57891782714285	3361.4694037577756	UTC-10	n	7.110477756029993	17.97497144936194
65	17	1191	Concordia Station	75.3792488012241	75.931600191272	2285.6150585134797	UTC+5	n	7.705573214201987	15.653233944814188
66	17	650	Magdalena Ridge Observatory	-56.653625032646005	-60.66819441631752	5169.2977091193525	UTC-3	n	1.2630175539294475	16.28614954691142
67	17	2623	Llano de Chajnantor Observatory	64.07195471056224	-73.88149469899444	1631.7022964237303	UTC+4	n	5.76379055776075	18.934117126070305
68	17	772	Yangbajing International Cosmic Ray Observatory	102.33475716092136	27.428307799226644	791.7255893389596	UTC+6	n	3.459866899087918	23.499692367622497
69	17	2647	Large Millimeter Telescope	74.24509163456804	-15.224636102280996	2860.209082034597	UTC+4	n	4.676342287358258	23.5636451896339
70	18	430	Large Latin American Millimeter Array	-47.99107582477842	-53.02078780345859	5123.497675806599	UTC-3	y	9.862687727868785	21.8605480728035
71	18	948	Mount Graham International Observatory	-110.33162008205252	1.2825486016415653	1472.224108026901	UTC-7	n	4.121356688949214	19.498898799202113
72	19	1719	Chacaltaya Astrophysical Observatory	-140.14947477601885	-74.15172260544043	2747.541615446552	UTC-9	n	4.5186864766159225	21.678692830221973
73	19	2699	James Ax Observatory	50.40948392459683	-5.98006459615155	1120.0025638596003	UTC+3	y	2.034166065171644	17.859091557686753
74	19	1646	Peak Terskol Observatory	-124.09937013704322	-70.44523336800128	4505.647266853189	UTC-8	n	6.801323995011865	24.67233280436023
75	20	896	Magdalena Ridge Observatory	35.73442953121992	25.083675128731215	4653.377962627193	UTC+2	n	7.957773924416371	17.21925942193081
76	20	2175	Yangbajing International Cosmic Ray Observatory	26.19901152205105	58.475445755035594	2136.003042727975	UTC+1	n	4.251050079272049	18.995191657799094
77	20	640	Mauna Loa Observatory	-111.49523716660805	-70.93186810443859	1666.493317105913	UTC-7	n	6.694736255979835	20.17378568526753
78	21	854	Barcroft Observatory	-47.20597328244497	57.296296756440796	2147.514284748953	UTC-3	n	4.106136116474618	24.87823309880748
79	21	2842	Large Latin American Millimeter Array	-3.2841043759674733	-29.998572341901934	2629.416724670986	UTC+0	n	4.097775564179095	18.60766241747629
80	21	757	Magdalena Ridge Observatory	-81.15039711582372	77.10325096206782	2166.680501057117	UTC-5	n	6.692635449785347	15.639877303859066
81	22	212	European Extremely Large Telescope	76.49328128669009	-12.272781934021339	1429.1277036416554	UTC+5	n	6.460544018298414	23.624903447876356
82	22	1147	Shiquanhe Observatory 	167.4297891169374	51.94174049417097	1765.9618121887315	UTC+11	n	5.886209027428478	24.17168060311016
83	22	1681	Sphinx Observatory	4.861293285760496	38.667150966628554	1597.7983559296997	UTC+0	n	8.907279648233557	17.52091764951443
84	23	2080	Barcroft Observatory	136.17161614973975	54.649730940506316	3072.0003886251284	UTC+9	n	8.31006844233586	23.80088682343247
85	23	734	Llano de Chajnantor Observatory	43.291719866645934	-32.64654676317594	3869.2834694617695	UTC+2	n	5.962430336887076	24.806243836879872
86	24	2618	Mount Graham International Observatory	100.1117744401256	-79.23303059231797	2270.3072549875146	UTC+6	n	9.470719211564436	20.44751766379194
87	25	1655	Mauna Loa Observatory	-175.22337967031496	77.56588699799738	2936.4888876520095	UTC-11	n	3.3292402763855744	23.604623382806288
88	25	319	Very Long Baseline Array	86.80274925009684	21.678674700784853	2228.179576444112	UTC+5	n	0.9278512463268895	16.921110670029126
89	25	2110	Notre Dame University-Louaiz Observatory	107.0897515774322	41.086777052678855	4029.027893796835	UTC+7	n	7.274905137867735	23.384491241975706
90	25	364	James Ax Observatory	-104.65457920866771	23.075209031716724	3995.9804052402915	UTC-6	n	8.513342042357447	23.7337706576835
91	26	1535	Plateau Observatory	51.103785812978344	-42.0817907295665	4051.2199403777336	UTC+3	n	0.434326710291828	21.784931372166216
92	26	1387	University of Tokyo Atacama Observatory	65.51849880371603	22.823696536027057	774.3886114391058	UTC+4	n	8.743612882145642	16.84000217467168
93	26	2791	University of Tokyo Atacama Observatory	-164.37767280606508	8.810729143609876	2943.0465840690636	UTC-10	n	6.114115682679643	17.086638537803676
94	26	2120	University of Tokyo Atacama Observatory	121.92926774278675	5.8651038219306315	5136.0405527138955	UTC+8	y	2.1097106818321008	21.548502256913316
95	26	1021	High Altitude Water Cherenkov Gamma-Ray Observatory	-179.60523044162045	-35.88495389192136	2666.8455447169163	UTC-11	n	3.389482256588149	15.999611777202604
96	27	356	Meyer-Womble Observatory	-102.2240676009083	49.2637356625919	121.23529085800553	UTC-6	n	7.9251850298809	23.473829423925487
97	28	2192	Very Long Baseline Array	135.93824844332045	-44.44742956113	3987.65237459007	UTC+9	n	1.4457693606950284	22.554184214048494
98	28	979	Chacaltaya Astrophysical Observatory	164.3606722556965	71.7516035992627	108.9039524623077	UTC+10	n	0.5254988352665901	18.044931892860717
99	28	1933	Haleakala Observatory	-26.80805151027718	-67.9780350071363	1477.2201143486911	UTC-1	n	2.5186294716091826	23.336115177000934
100	28	1985	Barcroft Observatory	-156.02528306780468	73.44423477888202	3831.854527110022	UTC-10	n	6.217226552956704	24.990334011445185
101	29	1023	Gornergrat Observatory	-138.0690269101633	-23.648475141532934	4702.805464601017	UTC-9	n	0.41253729787135707	17.963120519394064
102	29	2001	Barcroft Observatory	38.13748393241411	-66.24818893261433	2823.997025580511	UTC+2	n	8.248360490185794	16.1914573676121
103	30	1172	Mauna Kea Observatory	112.62690157755958	10.725482360086119	3257.1582085183913	UTC+7	n	2.4516561104409798	20.164373687297086
104	30	2795	Mount Graham International Observatory	-105.31179559958576	29.70606318401279	2078.1222211436893	UTC-7	n	9.087998229689736	18.964944946354557
105	31	494	Chacaltaya Astrophysical Observatory	-100.27717119861063	-26.840963256048163	4196.592653186861	UTC-6	n	9.10829117698012	17.942865168266348
106	31	1913	University of Tokyo Atacama Observatory	-93.40414447841339	-20.07630571010438	1845.4938923026973	UTC-6	n	0.30596409029431504	18.376795399297578
107	31	544	Llano de Chajnantor Observatory	-19.889269686248497	-75.89986194201514	1106.5387683523852	UTC-1	n	0.8235777993403615	19.269036198691666
108	31	44	Barcroft Observatory	-22.059002866706976	-0.3180510034188302	1476.0223925479595	UTC-1	n	5.983775093899093	16.929715504283493
109	32	233	European Extremely Large Telescope	153.37691486106735	67.03684916850139	2332.3186174132784	UTC+10	n	2.069052893197725	22.88264340983391
110	32	915	Plateau Observatory	-52.869118248910695	79.97637757873258	2960.43332871994	UTC-3	n	6.976474380822251	17.861317370922805
111	32	438	Shiquanhe Observatory 	-169.28092072235088	-18.78840278541857	4562.773622030758	UTC-11	n	8.341712017135404	17.031887060289577
112	33	2570	Sphinx Observatory	-2.9225290995145485	-44.0667632734459	592.062587365973	UTC+0	y	3.1538087644809187	17.180180806868172
113	33	1192	James Ax Observatory	-158.53170397431046	-49.202825763803766	2956.537620948901	UTC-10	n	8.973295552540764	19.527078891684965
114	33	2237	High Altitude Water Cherenkov Gamma-Ray Observatory	-26.897878094653862	-3.230003220063651	2643.749660123346	UTC-1	n	3.7862969807449067	24.13407350782952
